Rtg,Rtg,Str,Dis,High,Stock,Symbol,Price,Chg,Chg
99,99,97,D-,113.5,CF Industries,CF,87.82,1,-36
99,99,96,D-,67.8,Matador,MTDR,51.33,1.93,-10
99,99,96,A+,23,Photronics,PLAB,19.34,-2.06,140
99,99,96,E,288.5,PioneerNat,PXD,235.33,5.16,-2
99,99,93,D-,117.3,Nutrien,NTR,84.62,0.94,-1
99,98,98,A+,90.5,DaqoEnergy,DQ,67.53,-4.58,77
99,98,98,E,22.3,Earthstone,ESTE,16.27,1.59,175
99,98,98,A+,4.2,StlthGas,GASS,3.5,0.06,-40
99,98,97,D-,36.5,CoterraEnrg,CTRA,27.69,0.66,-11
99,97,99,B,8.8,VaalcoEn,EGY,8.08,0.38,37
99,97,93,C,140,QuantaSvcs,PWR,124.1,-3.81,-52
99,97,93,B,45.8,SimplyGoodFds,SMPL,40.39,-1.16,0
99,96,94,D,7,Pangaea,PANL,5.41,0,-27
99,95,98,D-,11,CrescntPtEnrg,CPG,7.87,0.39,59
99,94,95,E,162.2,Diamondback,FANG,129.8,5.41,6
99,94,92,B,112.9,Ashland,ASH,103.09,-0.76,-31
99,93,95,B,95.7,Merck,MRK,91.89,-2.52,9
99,93,92,A-,23,GraphPkg,GPK,20.44,-0.43,5
99,89,96,A-,25.1,Funko A,FNKO,23.07,-1.12,17
99,88,93,B-,24.3,Hostess A,TWNK,20.68,-0.06,-36
99,88,92,C+,61.7,Pfizer,PFE,50.66,-1.22,-38
99,83,98,C,115.8,Sociedad Q M,SQM,87.09,-5.49,0
99,81,97,C-,39.1,Equinor Asa,EQNR,35.38,1.22,-30
99,80,97,E,70.6,CanadnNatRes,CNQ,55.79,2.44,32
99,80,96,A,34.7,PilgrmsP,PPC,31.38,-0.76,-1
99,79,98,D-,79.4,Devon Energy,DVN,59.46,1.67,41
99,79,98,D-,33.2,MarathonOil,MRO,24.13,1.01,2
99,79,97,E,124.1,Conocphilps,COP,95.22,2.99,5
99,78,99,C-,50.4,EQT,EQT,38.24,1.59,-24
99,78,98,D,75.5,ContintlResrce,CLR,67.69,0.41,-35
99,78,98,D-,57.9,ImperialOil,IMO,49.29,0.92,-4
99,78,98,E,42.7,SuncorErgy,SU,36.6,0.94,-19
99,78,97,D-,105.6,ExxonMobil,XOM,91.5,2.47,3
99,78,96,E,33.6,Brigham Minrls,MNRL,26.38,0.46,16
99,77,96,D-,35.9,Viper Energy,VNOM,27.77,1.15,61
99,76,99,C+,187,AlphMetalRes,AMR,144.21,1.58,-51
99,76,99,B-,178.8,Arch Resources,ARCH,156.42,0.19,-46
99,76,99,B-,26.1,BP Prdhoe,BPT,24.36,1.54,60
99,76,99,B,10.8,HudsonTch,HDSN,8.14,-0.65,-30
99,76,99,D+,74,Occidental,OXY,61.71,2.81,32
99,76,98,B-,21.7,Ramaco Resorcs,METC,14.77,0.5,-36
99,76,97,B,43,WarriorMetCoal,HCC,32.84,-0.15,-45
