Rtg,Rtg,Str,Dis,High,Stock,Symbol,Price,Chg,Chg
97,68,86,B,19.3,VerraMobility,VRRM,19.13,0.09,-55
97,67,98,A+,101.7,RoyalCaribb,RCL,103.13,1.7,18
97,64,89,B-,47.3,Dave&Busters,PLAY,44.39,0.57,-39
97,63,96,A-,76.1,Shake Shack,SHAK,76.87,1.97,-42
96,99,91,B-,15.3,Arhaus,ARHS,9.97,-0.26,-15
96,99,90,B-,241.5,Medpace,MEDP,229.09,6.08,-35
96,98,93,C,519.2,Deckers,DECK,520.12,8.08,-33
96,98,90,C-,151.3,Crocs,CROX,107.13,0.05,-26
96,98,90,B,134.1,Dexcom,DXCM,126.42,2.92,-12
96,97,96,B-,48.2,Taylor Morrisn,TMHC,47.71,0.02,13
96,97,92,C,25.6,Dorian LPG,LPG,24.4,0.34,-32
96,97,84,B,140.2,Fabrinet,FN,125.55,-0.8,-56
96,97,75,B-,23.8,ICICIBank,IBN,23.01,0.03,-36
96,96,85,C,515.8,IdexxLabs,IDXX,491.34,7.14,6
96,95,89,E,100.8,Lantheus,LNTH,84.54,0.1,-29
96,94,87,C-,150.4,ChurchlDwns,CHDN,132.96,-0.49,-42
96,94,86,D-,173,NovoNrdsk,NVO,156.79,0.81,-15
96,94,80,B-,198.3,Analog Devices,ADI,189.9,-2.48,2
96,93,85,D+,339.6,Ansys,ANSS,324.31,0.99,-18
96,92,89,B-,86.3,Graco,GGG,84.75,-1.03,-2
96,92,83,B+,95.2,ITT,ITT,90.75,0.22,15
96,91,96,D-,33.6,TriPointeHomes,TPH,32.3,-0.19,-27
96,90,87,D+,159.9,Ametek,AME,158.78,-0.8,-35
96,90,63,B-,49.5,Bank Ozk,OZK,39.62,0.37,-49
96,89,98,B,134.4,Builders First,BLDR,135.34,1.86,-20
96,88,95,B+,140.6,MeritgeHme,MTH,139.29,-0.29,-8
96,87,95,B-,128.9,OwensCorng,OC,128.04,-0.23,-7
96,85,94,B-,154.9,Atkore,ATKR,152.32,-0.3,-35
96,85,81,D+,19,Stellantis,STLA,16.92,0.02,-28
96,83,98,A,25.3,Vista Enregy,VIST,23.87,0.4,-27
96,82,82,C,53.9,DigitalOcean,DOCN,39.73,0.37,-23
96,81,97,C-,50.5,Intapp,INTA,41.82,1.51,40
96,81,95,B+,34.9,On Holding,ONON,31.98,0.68,-23
96,81,94,B,21.8,Life Time Grp,LTH,19.15,0.71,-37
96,76,94,B,54.2,BentleySys,BSY,53.29,0.57,-20
96,76,71,B+,43.6,GenMotors,GM,38.19,0.71,-13
96,75,89,C-,77.6,RestaurntBnds,QSR,76.02,0.25,-30
96,70,91,C,114.5,Entegris,ENTG,107.99,-1.1,-50
96,70,85,B-,43.3,OpenText,OTEX,40.77,0.21,-30
96,64,97,A,16.4,Carnival,CCL,17.29,1.4,137
95,99,87,C+,153.4,AdvancdDrn,WMS,112.84,-2.65,33
95,98,89,D-,225,Salesforce,CRM,212.17,3.35,-32
95,98,89,B+,20.6,SovosBrnds,SOVO,19.57,0.05,-19
95,98,85,C,41.3,NAPCOSec,NSSC,34.86,-0.37,-37
95,98,83,D,42.8,PerionNetwk,PERI,30.54,-0.61,-3
95,98,80,A-,242.6,Chart Indus,GTLS,154.61,1.28,-48
95,98,58,C-,402.8,Paycom,PAYC,312.23,-1.74,10
95,94,93,A,27.3,Flex,FLEX,26.66,0.2,-39
95,94,91,B-,89.6,Timken,TKR,89.44,-0.07,-36
95,94,89,B-,43.7,Griffon,GFF,40.04,0.81,-14
95,94,75,D,48.1,MobileyeGlbl,MBLY,38.12,0.59,-51
95,92,92,B,159.7,AutoNation,AN,164.08,4.61,-4
95,90,88,D+,468,Synopsys,SNPS,427.15,0.37,-35
95,89,87,A-,189.1,Amerisrce,ABC,189.72,0.94,-25
95,89,81,B,58.6,Fastenal,FAST,58.06,-0.4,3
95,88,81,D,118.6,Xylem,XYL,110.54,-1.07,-53
