Rtg,Rtg,Str,Dis,High,Stock,Symbol,Price,Chg,Chg
97,68,99,A,439.9,Nvidia,NVDA,422.09,-8.16,-28
97,68,85,B,19.3,VerraMobility,VRRM,18.78,-0.34,-20
97,67,98,A+,97.7,RoyalCaribb,RCL,97.92,0.51,14
97,64,98,A,9,WeaveComms,WEAV,9.13,0.31,125
97,64,87,B-,47.3,Dave&Busters,PLAY,42.69,0.38,-5
97,53,94,A,111.7,Fomento,FMX,108.11,-2.01,-18
96,99,69,B-,22.1,CatalystPhr,CPRX,13.15,0.02,12
96,98,93,C-,518.5,Deckers,DECK,506.12,2.57,-10
96,98,90,C-,42.8,PerionNetwk,PERI,32.71,0.08,-46
96,98,89,D+,225,Salesforce,CRM,210.09,-3.2,63
96,98,89,C,151.3,Crocs,CROX,106.01,-1.05,263
96,98,86,B-,41.3,NAPCOSec,NSSC,35.45,-0.75,22
96,97,96,C+,48.1,Taylor Morrisn,TMHC,47.13,-0.13,-10
96,97,85,B,140.2,Fabrinet,FN,124.16,-3.05,-24
96,94,80,C,43.1,Rollins,ROL,41.39,-0.21,11
96,92,82,B-,354.5,Vertex,VRTX,347,-1.16,4
96,92,81,A-,95.2,ITT,ITT,87.07,-0.25,14
96,91,96,D-,33.6,TriPointeHomes,TPH,31.85,-0.02,26
96,90,87,B-,468,Synopsys,SNPS,419.56,-6.57,312
96,89,98,B+,129.9,Builders First,BLDR,127.52,0.01,8
96,89,92,B,644.6,LamRsr,LRCX,608.76,-11.11,-25
96,88,95,B,135.7,MeritgeHme,MTH,137.06,2.03,76
96,87,94,B-,126,OwensCorng,OC,124.06,0.09,-14
96,87,85,C-,60.5,MonstrBev,MNST,59.11,-0.58,62
96,85,94,B-,154.9,Atkore,ATKR,144.3,-1,1
96,84,91,A-,11.8,Adeia,ADEA,10.37,-0.19,380
96,82,79,A-,36.4,Livent,LTHM,25.86,-0.44,13
96,81,96,B+,52.2,KBHome,KBH,52.02,0.47,118
96,81,95,A-,33.8,ArcturusThera,ARCT,23.94,-0.69,147
96,80,84,B,23.6,SunCntryAir,SNCY,19.98,-0.17,302
96,77,88,A,72.4,Commvault,CVLT,71.35,-0.41,40
96,75,90,C-,77.6,RestaurntBnds,QSR,75.35,-0.29,3
96,71,94,A,85.4,TenetHlthcr,THC,78.2,-1.02,-12
96,70,89,B-,114.5,Entegris,ENTG,103.54,-1.89,97
96,68,99,A+,4.9,RockwellMed,RMTI,4.42,-0.26,94
96,68,91,A-,17.2,KiniksaPhrmA,KNSA,15.46,-0.49,131
96,65,93,A-,18.4,Harmonic,HLIT,16.65,-1.13,282
