Rtg,Rtg,Str,Dis,High,Stock,Symbol,Price,Chg,Chg
97,88,85,A-,51.3,Azek Co A,AZEK,45.72,0.32,-58
97,87,96,C-,376.1,Zscaler,ZS,324.66,-5.23,-60
97,87,90,D-,203.2,JBHunt,JBHT,203.79,0.65,-47
97,86,91,D,238.3,TractorSply,TSCO,231.17,-0.3,-51
97,84,87,B,278.8,Ferrari,RACE,257.5,-0.64,-66
97,81,95,B,415.9,Accenture,ACN,415.27,-0.06,-44
97,80,78,B+,41.7,Weyerhaus,WY,39.86,0.2,-54
97,72,87,B,72.4,Freedom Hldg,FRHC,70.05,-0.31,80
97,66,98,A,16.1,ExtremeNtk,EXTR,16.02,-0.01,21
97,66,96,B-,67.9,NatlStrgAff,NSA,68.19,0.31,-53
96,99,96,D-,239.3,SilvrgateCapA,SI,153.96,-8.91,-55
96,99,80,D-,78.6,StifelFncl,SF,71.48,0.44,-54
96,98,92,D-,3019.3,Alphabet,GOOGL,2933.74,-24.39,-46
96,98,90,B+,36.9,ComcrlMetal,CMC,36.01,0.44,-40
96,97,91,B-,44.5,InvitatnHome,INVH,44.59,0.06,-47
96,97,89,B-,44.4,Avantor,AVTR,41.34,-0.62,-47
96,96,83,E,161.1,Copart,CPRT,149.75,1.02,-31
96,96,74,B,243,VertexPhar,VRTX,221.93,-0.41,-61
96,95,93,D+,28.3,TriPointeHomes,TPH,27.17,0.11,7
96,95,89,B-,210,SunCommty,SUI,208.49,0.72,-56
96,95,87,C,52.9,FidelityNatlFn,FNF,51.66,0.08,-64
96,93,94,C+,283.9,Eli Lilly,LLY,276.43,-1.98,-68
96,93,92,B,283.6,Iqvia,IQV,280.61,-1.45,-51
96,92,92,C,60,LKQ,LKQ,58.81,0.18,-65
96,91,92,B-,75.6,TollBros,TOL,71.55,0.1,-42
96,91,89,D,334,Danaher,DHR,323.44,-3.97,-54
96,88,90,B+,62.1,Ingersoll-Rand,IR,61.37,0.16,-39
96,88,86,C,75.3,KulickeSof,KLIC,58.54,-0.13,-46
96,88,75,B,18.1,Viavi,VIAV,17.6,0.26,-14
96,87,95,B-,676.3,Broadcom,AVGO,669,-5.28,-23
96,87,92,D-,420.6,HmDepot,HD,406.22,2.13,-36
96,87,91,B-,174.9,MarshM,MMC,173.77,-0.12,-53
96,87,90,B-,29.8,Univar Sols,UNVR,28.1,0.33,-42
96,86,93,B-,181.4,KornitDigital,KRNT,152.45,-0.91,-39
96,81,92,B,22.4,Cushmn&Wake,CWK,22.41,0.05,-61
96,78,90,B,89.5,WyndhamHotels,WH,89.22,0.39,14
96,77,93,B,10,Wipro,WIT,9.63,-0.01,-56
96,75,99,D+,59,ZimIntegrated,ZIM,54.93,-0.03,-18
96,74,94,B+,52.5,IronMtn,IRM,52.77,0.28,-53
96,74,93,C+,29.9,TeckResrces,TECK,28.73,-0.04,-69
96,73,95,C,572.7,PaloAltNts,PANW,564.71,-3.63,-61
96,68,99,A+,7.1,Oxbridge Re,OXBR,6.27,-0.79,7
96,68,90,B-,36.9,Allegro Micro,ALGM,35.68,-0.04,70
96,68,87,B-,239.9,NXPSemi,NXPI,231.02,-1.76,-44
96,62,99,C,10.9,Enerplus,ERF,10.74,-0.13,-11
95,99,98,D,134.5,Boot Barn,BOOT,122.64,-0.95,-17
95,98,99,A-,41.9,Thryv,THRY,41.45,-0.24,-61
95,98,91,E,78.5,FirstAmer,FAF,77.72,-0.19,-24
95,97,88,D-,44.5,JefferiesFinl,JEF,39.13,0.04,-44
95,96,96,D,117.7,Diamondbck,FANG,110.16,-0.98,-50
95,96,88,E,117.5,Lennar,LEN,114.5,1.03,-47
95,96,84,D-,137.8,Expeditors,EXPD,132.97,-0.07,-65
95,95,92,D-,108,CBRE Group,CBRE,107.72,-0.07,-59
95,95,90,B+,41.4,SimplyGoodFds,SMPL,41.35,0.13,33
95,94,92,D-,51.1,AcadmySports,ASO,40.97,-0.79,-47
95,92,89,C-,178.9,Dover,DOV,179.81,1.18,-38
95,91,93,C-,191.9,Cadence,CDNS,190.08,-1.57,-24
95,90,93,D,263.3,Lowe's,LOW,254.02,0.32,-55
95,90,91,C-,198.7,PerkinElmer,PKI,195.36,-2.62,-46
95,88,93,C-,120.8,RobrtHalf,RHI,111.57,0.09,-70
95,88,91,D,696.6,OReillyAuto,ORLY,696.87,4.43,-46
95,87,91,C,174.1,RegalRexnrd,RRX,170.05,1.05,-59
95,87,87,D,76.2,Moelis & Co,MC,63.02,-0.34,-19
95,83,83,B,132.2,Amerisrce,ABC,132.36,0.46,-39
95,81,86,B-,23.1,Knowles,KN,23.08,0.01,-33
95,80,94,D+,90.1,Ares Mngt,ARES,82.04,-0.76,-44
95,80,94,B,375.7,Synopsys,SNPS,372.15,-3.44,-36
95,79,88,D+,407.9,Moodys,MCO,399.42,-0.05,-49
95,73,96,C-,274.1,Rogers,ROG,273.28,-0.1,-51
95,71,94,B-,60.6,CarlyleGroup,CG,55.47,-0.68,-74
95,68,90,A,25.3,Infosys,INFY,25.3,-0.03,-48
95,38,91,B+,58.5,Tenable,TENB,55.46,-0.42,-47
94,99,93,B-,114.1,Trade Desk A,TTD,94.79,-2.89,-65
94,99,74,D+,52.5,KBHome,KBH,44.69,0.52,18
94,98,91,E,3037,Alphabet C,GOOG,2928.96,-32.32,-20
94,98,78,B,63.7,BHP Grp Ads,BBL,59.02,-0.63,-57
94,97,85,B+,204.9,CrownCastle,CCI,206.3,1.55,-31
94,96,80,D+,63.9,PulteGrp,PHM,56.28,0.9,-42
94,95,97,D+,47.2,Matador,MTDR,38.32,-0.93,-44
94,94,96,C-,91.3,Athene A,ATH,84.4,-0.54,-62
94,93,93,D+,349.7,Microsoft,MSFT,341.25,-1.2,-44
94,93,92,E,69.1,FocusFinl,FOCS,61.24,0.18,-41
94,92,95,B-,483.1,Atlassian A,TEAM,388.61,-5.82,-48
94,92,89,E,142.8,DicksSport,DKS,107.39,-0.09,-9
94,91,89,B+,134.5,AbbVie,ABBV,134.39,-0.02,-38
94,91,89,B,17.5,GlobMedReit,GMRE,17.36,-0.09,-5
94,91,89,B+,50.5,Tempur Sealy,TPX,47.19,0.17,-28
94,91,84,B,39.8,CarGurus A,CARG,33.81,-0.3,-40
94,91,57,D,202.3,TexsInst,TXN,191.1,-0.74,-42
94,90,87,C,245.2,Steris,STE,243.79,-1.19,-56
94,90,60,D-,110.7,PowrInteg,POWI,91.81,-2.28,-32
94,89,94,B-,246.7,Zoetis,ZTS,244.25,-2.26,-33
94,88,94,C+,69.5,Brwn&Brwn,BRO,69.34,-0.12,-59
